Borough,2018,2017,2016,total
Aviation Security(SO18),2,9,5,16
Barking and Dgenham,2,26,15,43
Barnet,5,67,38,110
Bexley ,2,8,8,18
Brent,8,75,61,144
Bromley,2,17,16,35
Camden,6,47,47,100
Croydon,5,56,43,104
Ealing,2,74,60,136
Enfiled,2,35,24,61
Greenwich,4,28,16,48
Hackney,6,76,44,126
Hammersmith and Fulham,2,47,53,102
Haringey,8,52,50,110
Harrow,3,24,21,48
Havering ,1,31,12,44
Hillingdon,6,40,24,70
Hounslow,2,55,53,110
Islington,4,83,69,156
Kensington and Chelsea,4,48,49,101
Kingston upon Thames,0,16,23,39
Lambeth,8,55,50,113
Lewisham ,2,32,24,58
Merton,0,27,27,54
Newham,11,108,57,176
Redbridge,6,59,26,91
Richmond upon Thames,3,9,16,28
Southwark ,8,60,26,94
Sutton,1,25,13,39
Tower Hamlets,14,97,87,198
Waltham forest,8,69,54,131
Wandsworth,3,43,37,83
Westminster ,21,162,76,259
,159,1660,1224,3043
,,%9.52 artis,,